Cause,SubCause,Bug,BUILTINDL,GOLEAK,LOCKDL,GOAT_M,GOAT_U,GOAT_D1,GOAT_D2,GOAT_D3
Mixed Deadlock,Channel & Lock,kubernetes_26980,GDL (2),TO/GDL (1),TO/GDL (7),GDL (1),- (100),GDL (7),GDL (4),GDL (1)
Mixed Deadlock,Channel & Lock,kubernetes_6632,- (100),PDL (1),- (100),PDL-2 (2),PDL-2 (1),PDL-2 (11),PDL-2 (1),PDL-2 (2)
Mixed Deadlock,Misuse WaitGroup,moby_25384,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Mixed Deadlock,Channel & Lock,moby_28462,- (100),PDL (1),- (100),PDL-2 (1),- (100),PDL-2 (1),PDL-2 (1),PDL-2 (1)
Mixed Deadlock,Channel & Lock,serving_2137,- (100),- (100),- (100),- (100),- (100),- (100),- (100),GDL (9)
Resource Deadlock,AB-BA deadlock,cockroach_10214,- (100),- (100),DL (12),PDL-2 (1),- (100),PDL-2 (26),PDL-2 (10),PDL-2 (2)
Resource Deadlock,RWR deadlock,cockroach_16167,- (100),- (100),DL (1),- (100),- (100),GDL (3),GDL (3),GDL (1)
Resource Deadlock,RWR deadlock,cockroach_3710,- (100),PDL (77),DL (5),PDL-2 (7),- (100),- (100),PDL-2 (15),PDL-2 (3)
Resource Deadlock,Double locking,cockroach_584,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Resource Deadlock,RWR deadlock,cockroach_6181,- (100),PDL (1),DL (7),PDL-4 (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Resource Deadlock,AB-BA deadlock,cockroach_7504,- (100),- (100),DL (2),PDL-2 (2),- (100),PDL-2 (27),PDL-2 (6),PDL-2 (14)
Resource Deadlock,Double locking,cockroach_9935,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Resource Deadlock,Double locking,etcd_10492,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Resource Deadlock,Double locking,etcd_5509,- (100),- (100),TO/GDL (11),GDL (2),- (100),GDL (1),GDL (1),GDL (1)
Resource Deadlock,Double locking,etcd_6708,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Resource Deadlock,Double locking,grpc_3017,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),- (100),GDL (2),GDL (1),GDL (1)
Resource Deadlock,Double locking,grpc_795,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Resource Deadlock,AB-BA deadlock,hugo_3251,GDL (1),TO/GDL (1),DL (1),GDL (1),- (100),- (100),GDL (34),GDL (4)
Resource Deadlock,Double locking,hugo_5379,GDL (1),TO/GDL (1),TO/GDL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
Resource Deadlock,AB-BA deadlock,kubernetes_13135,- (100),PDL (3),DL (1),PDL-2 (1),PDL-2 (13),PDL-2 (1),PDL-3 (2),PDL-3 (2)
Resource Deadlock,AB-BA deadlock,kubernetes_30872,- (100),PDL (10),DL (2),PDL-3 (3),PDL-2 (1),PDL-3 (1),PDL-3 (2),PDL-3 (1)
Resource Deadlock,RWR deadlock,kubernetes_58107,- (100),- (100),- (100),PDL-1 (1),- (100),GDL (1),GDL (1),GDL (1)
Resource Deadlock,RWR deadlock,kubernetes_62464,- (100),- (100),DL (1),PDL-2 (2),- (100),- (100),PDL-2 (2),PDL-2 (4)
Resource Deadlock,Double locking,moby_17176,- (100),PDL (1),- (100),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Resource Deadlock,Double locking,moby_36114,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Resource Deadlock,AB-BA deadlock,moby_4951,- (100),PDL (4),DL (3),PDL-2 (1),- (100),PDL-2 (53),PDL-2 (6),PDL-2 (3)
Resource Deadlock,Double locking,moby_7559,- (100),PDL (1),DL (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1),PDL-1 (1)
Resource Deadlock,Double locking,syncthing_4829,GDL (1),TO/GDL (1),DL (1),GDL (1),GDL (1),GDL (1),GDL (1),GDL (1)
-,-,-,20,58,34,65,44,60,64,66
